first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Brett,Rivera,1966/09/10,2018/09/26,37,2008,OK,unity golf club,Parker Group
Diana,Jones,1960/04/02,2018/12/06,70,2017,ME,unity golf club,Taylor-Alvarez
Thomas,Anderson,1992/02/13,2018/04/02,63,2017,MD,unity golf club,Peterson and Sons
Vincent,Oneal,1977/04/12,2018/03/23,32,2009,LA,unity golf club,Mcdonald Inc
Rhonda,Clark,1979/05/31,2018/08/20,89,1976,IA,unity golf club,"Martin, Mcknight and Clark"
Kyle,Salazar,1982/02/15,2018/03/03,35,2014,WA,unity golf club,"Kelley, Gilbert and Jackson"
Gwendolyn,Grant,1971/02/07,2018/12/18,94,2007,MI,unity golf club,"Hopkins, Barnes and Ward"
Calvin,Johnson,1989/03/29,2018/09/26,54,1977,SC,unity golf club,"Kelley, Gilbert and Jackson"
Tamara,Mendez,1984/10/22,2018/02/15,84,2015,ME,unity golf club,"Kelley, Gilbert and Jackson"
Brent,Ramos,1975/05/12,2018/07/15,32,1975,MA,unity golf club,"Hopkins, Barnes and Ward"
Kimberly,Singleton,1959/10/18,2018/10/28,77,2009,MO,unity golf club,Peterson and Sons
Carlos,Lewis,1969/09/02,2018/03/17,51,1998,AR,unity golf club,"Smith, Torres and Matthews"
Sydney,Livingston,1983/05/30,2018/03/15,42,1992,VT,unity golf club,Rivera Ltd
Lauren,West,1998/03/03,2018/05/04,95,2015,IA,unity golf club,Pearson Group
Cheryl,Whitney,1998/09/30,2018/11/03,36,2006,AK,unity golf club,Bruce Inc
Jessica,Harrison,1986/09/21,2018/04/21,81,1988,LA,unity golf club,Scott and Sons
Ashley,Banks,1998/07/25,2018/10/29,46,1982,NV,unity golf club,"Hopkins, Barnes and Ward"
Edward,Hall,1970/03/19,2018/05/26,67,1984,WV,unity golf club,"Martin, Mcknight and Clark"
Kirsten,Howard,1992/07/24,2018/10/02,98,2004,NJ,unity golf club,Mcdonald Inc
Ruth,Bright,1976/06/17,2018/02/02,65,2012,NE,unity golf club,Keller Group
Rebecca,Callahan,1963/09/19,2018/06/16,32,1994,ME,unity golf club,"Brown, Vasquez and Sanchez"
Gail,Kennedy,1993/01/06,2018/11/26,30,1993,MN,unity golf club,"Brown, Vasquez and Sanchez"
Danny,Adams,1978/07/02,2018/04/29,57,1977,IA,unity golf club,"Jackson, Carlson and Contreras"
Nicholas,Campbell,1960/07/19,2018/07/05,64,1998,SC,unity golf club,Hunter Ltd
Kathleen,Burke,1961/09/21,2018/08/05,96,1985,GA,unity golf club,Keller Group
Stacey,Glover,1985/01/16,2018/03/10,31,2016,NM,unity golf club,"Alvarez, Schaefer and Robertson"
Tabitha,Allen,1969/01/30,2018/11/05,91,1994,MO,unity golf club,Peterson and Sons
Benjamin,Reid,1965/09/23,2018/04/15,46,1985,NH,unity golf club,Rivera Ltd
Victoria,Zimmerman,1966/08/05,2019/01/07,87,1984,OK,unity golf club,Scott and Sons
Tonya,Mays,1997/09/08,2018/10/21,35,1999,OR,unity golf club,Rivera-Morrow
Roger,Stephens,1962/06/10,2018/10/10,43,2018,NM,unity golf club,"Brown, Vasquez and Sanchez"
Steven,Norris,1962/07/30,2018/05/24,67,1977,ID,unity golf club,Scott and Sons
Patricia,Gray,1969/03/29,2018/11/28,59,1998,DC,unity golf club,Scott and Sons
Jeffery,Adams,1996/04/05,2018/02/06,48,2007,OH,unity golf club,Pearson Group
Jennifer,Mcmillan,1976/09/19,2018/10/31,45,1984,OK,unity golf club,Taylor-Alvarez
Ivan,Jones,1981/04/04,2018/01/21,54,1989,MI,unity golf club,Peterson and Sons
Michael,Harris,1959/09/25,2018/03/03,98,2012,IL,unity golf club,Taylor-Alvarez
Sierra,Hart,1975/06/23,2018/01/29,89,1979,DC,unity golf club,Mcdonald Inc
Ray,King,1973/09/07,2018/02/04,68,2010,WI,unity golf club,"Jackson, Carlson and Contreras"
Stacey,Lam,1974/04/05,2018/09/09,73,2010,OR,unity golf club,Mcdonald Inc
Amy,Hunter,1988/03/02,2018/07/22,81,2005,KS,unity golf club,"Brown, Vasquez and Sanchez"
Stacy,Aguilar,1996/08/09,2018/02/16,65,1999,MD,unity golf club,Rivera Ltd
Brenda,Cherry,1970/03/06,2018/04/16,55,2000,NY,unity golf club,Parker Group
Allison,Morgan,1973/03/15,2018/04/12,95,1985,OH,unity golf club,"Brown, Vasquez and Sanchez"
Olivia,Solomon,1974/01/13,2018/07/22,80,2007,TX,unity golf club,"Hopkins, Barnes and Ward"
Becky,Hernandez,1971/10/11,2018/07/21,75,2016,UT,unity golf club,"Mullen, Huffman and Vasquez"
Stephanie,Rivera,1961/05/20,2018/09/07,39,1983,NC,unity golf club,Rivera Ltd
Sean,Clarke,1992/09/15,2018/08/30,96,1980,IN,unity golf club,"Kelley, Gilbert and Jackson"
Amanda,Sandoval,1979/05/12,2018/05/25,85,1989,OH,unity golf club,"Martin, Mcknight and Clark"
Anthony,Adkins,1995/12/27,2018/09/14,64,1990,CO,unity golf club,Hunter Ltd
Carmen,Gonzalez,1972/10/24,2018/11/15,37,1980,MT,unity golf club,Mcdonald Inc
Julia,Booker,1969/09/11,2018/12/02,70,1986,MS,unity golf club,"Martin, Mcknight and Clark"
Brandi,Fields,1976/04/26,2018/09/30,61,1974,CA,unity golf club,"Alvarez, Schaefer and Robertson"
Brenda,Meyers,1964/09/14,2018/12/27,89,2016,IL,unity golf club,Keller Group
Veronica,Lee,1993/01/27,2018/09/02,49,2010,KS,unity golf club,"Brown, Vasquez and Sanchez"
Mario,Hill,1974/10/31,2018/04/21,41,1992,OR,unity golf club,"Smith, Torres and Matthews"
Nicole,Flores,1998/06/10,2018/11/07,67,2001,WI,unity golf club,Bruce Inc
Nathaniel,Wang,1978/06/24,2018/10/02,67,1983,ND,unity golf club,Taylor-Alvarez
Heather,Gallegos,1976/08/15,2018/07/09,41,1971,PA,unity golf club,Hunter Ltd
James,Hansen,1980/07/23,2018/08/18,55,2002,MO,unity golf club,"Brown, Vasquez and Sanchez"
John,Hartman,1980/08/03,2018/05/29,76,2011,MT,unity golf club,Hunter Ltd
Michael,Williams,1977/10/15,2018/10/10,42,2015,MN,unity golf club,Keller Group
Gregory,Branch,1961/06/01,2018/12/17,39,1972,WI,unity golf club,"Hopkins, Barnes and Ward"
Justin,Blevins,1974/01/29,2018/12/05,64,1980,VT,unity golf club,Mcdonald Inc
Michael,Hinton,1982/02/24,2018/07/26,80,2009,ID,unity golf club,"Martin, Mcknight and Clark"
Stephanie,Atkins,1982/12/29,2018/11/17,31,2004,PA,unity golf club,Parker Group
Brent,Howe,1980/09/08,2018/12/17,99,1980,AR,unity golf club,Hunter Ltd
Jose,Norman,1977/11/01,2018/12/14,73,1989,AL,unity golf club,
Danielle,Walters,1970/05/10,2018/06/02,79,2006,MO,unity golf club,Taylor-Alvarez
Karen,Matthews,1986/10/24,2018/10/10,57,1975,LA,unity golf club,Bruce Inc
Anthony,Leblanc,1969/04/24,2018/12/09,46,1976,AR,unity golf club,Parker Group
Jennifer,Robinson,1979/01/21,2018/08/26,59,2000,FL,unity golf club,Peterson and Sons
Bradley,Ortiz,1976/11/06,2018/02/14,95,1980,FL,unity golf club,Parker Group
Charles,Gutierrez,1992/01/19,2018/02/05,86,2015,CA,unity golf club,Parker Group
Jessica,Monroe,1961/01/06,2018/10/02,47,1972,NM,unity golf club,"Kelley, Gilbert and Jackson"
Janice,Wilson,1976/04/23,2018/06/13,66,1988,OH,unity golf club,"Alvarez, Schaefer and Robertson"
Diane,Smith,1985/07/19,2018/10/11,93,1972,VA,unity golf club,Parker Group
Ronald,Butler,1969/08/22,2018/04/15,32,1997,MO,unity golf club,"Brown, Vasquez and Sanchez"
Nicole,Williams,1970/02/24,2018/01/26,45,2011,UT,unity golf club,Scott and Sons
Makayla,Vazquez,1982/11/10,2018/03/07,62,1970,SC,unity golf club,"Alvarez, Schaefer and Robertson"
Steven,Osborne,1978/02/11,2018/07/01,74,1983,TN,unity golf club,
John,Miller,1985/06/04,2018/09/03,67,1986,OH,unity golf club,Scott and Sons
Neil,Powers,1965/11/03,2018/03/12,96,2003,VA,unity golf club,Bruce Inc
Mark,Miles,1990/05/15,2018/09/12,37,1981,UT,unity golf club,Bruce Inc
Robert,Foster,1982/03/12,2018/12/21,94,2000,MN,unity golf club,Mcdonald Inc
Ronnie,Potts,1976/03/14,2019/01/07,84,1987,FL,unity golf club,"Jackson, Carlson and Contreras"
Samantha,Foster,1989/07/29,2018/05/20,50,2005,RI,unity golf club,Rivera-Morrow
Elizabeth,Jones,1982/09/30,2018/09/18,84,1995,VA,unity golf club,"Kelley, Gilbert and Jackson"
Elizabeth,Bishop,1987/04/08,2018/01/12,50,1979,AR,unity golf club,"Martin, Mcknight and Clark"
Jason,Miller,1982/07/04,2018/11/08,84,1978,ME,unity golf club,Parker Group
Austin,Gilbert,1967/08/04,2018/07/22,60,1989,OH,unity golf club,Mcdonald Inc
Charles,Mullen,1963/05/30,2018/03/24,63,1976,ME,unity golf club,"Brown, Vasquez and Sanchez"
Robin,Dean,1960/11/13,2018/03/23,78,1997,WI,unity golf club,Bruce Inc
Patrick,Roberts,1991/04/11,2018/01/21,49,2010,NH,unity golf club,Mcdonald Inc
Michael,Rodriguez,1966/10/26,2018/08/01,47,2015,AR,unity golf club,"Alvarez, Schaefer and Robertson"
Jacqueline,Patterson,1959/07/02,2018/10/01,77,1985,NV,unity golf club,Parker Group
Dennis,Francis,1988/10/14,2018/08/27,95,1984,NV,unity golf club,Scott and Sons
Jon,Lynn,1966/03/29,2018/11/18,49,1975,MN,unity golf club,"Martin, Mcknight and Clark"
Julie,Mejia,1970/06/18,2018/05/26,38,1993,CT,unity golf club,"Smith, Torres and Matthews"
Sarah,Chambers,1992/04/03,2018/04/25,71,1998,KS,unity golf club,Bruce Inc
Jennifer,Reynolds,1980/10/02,2018/10/04,46,2012,GA,unity golf club,"Brown, Vasquez and Sanchez"
Daniel,Rodriguez,1986/12/24,2018/12/12,72,1975,NC,unity golf club,"Brown, Vasquez and Sanchez"
Valerie,Key,1974/01/21,2018/08/23,86,2000,DC,unity golf club,"Alvarez, Schaefer and Robertson"
Garrett,Flores,1985/10/11,2018/09/24,92,2000,AL,unity golf club,Mcdonald Inc
Kendra,Hobbs,1986/10/14,2018/10/30,63,1992,ND,unity golf club,"Jackson, Carlson and Contreras"
Haley,Richards,1962/04/17,2018/02/19,97,1990,DE,unity golf club,
Jared,Delgado,1966/08/26,2018/09/14,30,2013,OK,unity golf club,"Kelley, Gilbert and Jackson"
Jennifer,Williams,1992/05/16,2018/07/27,64,1997,SC,unity golf club,Scott and Sons
Kayla,Newton,1982/01/29,2018/11/07,67,1975,GA,unity golf club,Mcdonald Inc
Nicole,Black,1974/12/22,2019/01/08,60,2015,WY,unity golf club,Rivera-Morrow
Billy,Roth,1984/10/06,2018/03/03,91,1994,NH,unity golf club,Taylor-Alvarez
Katie,Jackson,1980/03/28,2018/02/20,87,1981,DC,unity golf club,Bruce Inc
Larry,Wilson,1994/04/03,2018/08/20,46,1996,HI,unity golf club,"Smith, Torres and Matthews"
Jennifer,Flores,1998/07/09,2018/08/01,67,2010,MS,unity golf club,Bruce Inc
Craig,Andrews,1961/01/04,2018/04/09,33,1992,AK,unity golf club,Rivera Ltd
Michael,Ramirez,1993/10/23,2018/02/15,64,2002,SC,unity golf club,Keller Group
Joshua,Avila,1990/08/31,2018/05/15,32,2017,TX,unity golf club,Parker Group
Katherine,Miller,1972/02/22,2018/06/04,48,2005,PA,unity golf club,Bruce Inc
Joseph,Sanchez,1984/01/12,2018/11/21,47,2001,MD,unity golf club,"Hopkins, Barnes and Ward"
Susan,Roy,1975/10/04,2018/04/04,76,2002,MN,unity golf club,"Mullen, Huffman and Vasquez"
Kristine,Carpenter,1983/11/25,2018/04/11,93,2001,NC,unity golf club,Scott and Sons
Scott,Sweeney,1978/03/05,2018/11/13,58,2015,KY,unity golf club,"Smith, Torres and Matthews"
Brittany,Brown,1977/07/09,2018/02/20,64,2006,AZ,unity golf club,Hunter Ltd
Barbara,Knight,1962/05/03,2018/06/15,41,1987,FL,unity golf club,Mcdonald Inc
Barbara,Reed,1962/08/07,2018/12/30,89,1995,CT,unity golf club,"Alvarez, Schaefer and Robertson"
Rebecca,Nguyen,1971/03/06,2018/02/16,43,1978,DC,unity golf club,Taylor-Alvarez
Kayla,Perkins,1989/06/23,2018/10/18,46,1987,TN,unity golf club,Bruce Inc
Preston,Thompson,1970/02/27,2018/06/08,90,1998,AZ,unity golf club,"Mullen, Huffman and Vasquez"
John,Evans,1969/08/18,2018/04/26,42,2017,OR,unity golf club,"Smith, Torres and Matthews"
Clarence,Bailey,1964/07/01,2018/04/24,38,1970,WV,unity golf club,Pearson Group
Matthew,Edwards,1984/10/08,2018/08/15,95,2006,MS,unity golf club,Rivera Ltd
Ashley,Washington,1963/12/02,2018/09/02,83,1997,WY,unity golf club,Taylor-Alvarez
Micheal,Richardson,1976/08/22,2018/03/31,45,1977,IA,unity golf club,Bruce Inc
Sheila,Casey,1990/07/19,2018/02/04,52,2009,ID,unity golf club,"Kelley, Gilbert and Jackson"
Alexander,Powell,1964/08/05,2018/01/11,48,1971,WV,unity golf club,Peterson and Sons
Daniel,Castro,1998/04/26,2018/09/19,38,1972,NM,unity golf club,"Martin, Mcknight and Clark"
Charles,Palmer,1963/04/03,2018/05/30,46,1993,CA,unity golf club,"Martin, Mcknight and Clark"
Brittany,Tate,1979/10/12,2018/08/08,83,1984,TX,unity golf club,Williams-Stephenson
Valerie,Bush,1973/09/27,2018/04/19,47,2011,CO,unity golf club,"Hopkins, Barnes and Ward"
Jacqueline,Price,1983/06/17,2018/11/17,38,2011,AK,unity golf club,"Jackson, Carlson and Contreras"
Abigail,Garcia,1990/04/08,2018/02/02,48,1972,AZ,unity golf club,
Laura,Hogan,1983/12/26,2018/11/20,91,1990,TX,unity golf club,Rivera-Morrow
Samantha,Lopez,1973/03/08,2018/09/13,56,2017,GA,unity golf club,"Brown, Vasquez and Sanchez"
Tammy,Morgan,1986/07/19,2018/06/14,58,2010,AK,unity golf club,
Perry,Ferguson,1960/10/28,2019/01/03,55,1972,HI,unity golf club,Keller Group
Mary,Sheppard,1978/09/26,2018/11/23,73,1984,WI,unity golf club,Parker Group
Ryan,Juarez,1968/08/21,2018/04/16,89,2013,NV,unity golf club,Rivera Ltd
Jennifer,Silva,1990/11/18,2018/05/12,62,1996,KY,unity golf club,Williams-Stephenson
Joshua,Hill,1982/10/05,2018/06/06,95,2012,KY,unity golf club,Parker Group
Mary,Butler,1998/09/29,2018/08/26,80,2003,GA,unity golf club,Hunter Ltd
Sean,Barker,1977/03/15,2018/02/08,85,1970,ME,unity golf club,Parker Group
Jeffrey,Kennedy,1993/12/05,2018/06/06,67,1980,AZ,unity golf club,Mcdonald Inc
Anna,Shaffer,1983/12/26,2018/03/30,47,1977,ID,unity golf club,Rivera Ltd
Jerry,Velasquez,1987/04/04,2018/03/16,75,2002,CA,unity golf club,"Alvarez, Schaefer and Robertson"
Kristen,Snyder,1963/01/08,2018/08/22,46,1973,MI,unity golf club,
David,Blackwell,1974/08/21,2018/01/29,81,2001,CA,unity golf club,Scott and Sons
Christine,King,1971/09/29,2018/07/24,37,1983,MS,unity golf club,Bruce Inc
Kerri,Rogers,1961/03/07,2018/12/04,51,2000,NC,unity golf club,Williams-Stephenson
Wanda,James,1964/01/23,2019/01/07,76,1981,HI,unity golf club,Parker Group
Crystal,Barnett,1959/10/04,2018/01/14,53,1994,OR,unity golf club,Peterson and Sons
Diane,Luna,1965/11/02,2018/06/16,86,1981,NJ,unity golf club,"Martin, Mcknight and Clark"
Matthew,Snyder,1985/11/27,2018/07/13,49,1988,PA,unity golf club,"Smith, Torres and Matthews"
Amanda,Lopez,1994/01/10,2018/11/20,67,2009,DC,unity golf club,Rivera Ltd
Charles,Alvarez,1965/05/28,2018/06/21,60,1993,NM,unity golf club,Mcdonald Inc
Louis,Smith,1964/04/17,2018/07/24,87,1999,GA,unity golf club,"Kelley, Gilbert and Jackson"
James,Smith,1976/02/26,2018/04/05,91,2007,IN,unity golf club,Scott and Sons
Kenneth,Valenzuela,1981/10/03,2018/06/14,41,1982,MA,unity golf club,"Alvarez, Schaefer and Robertson"
Patricia,Barrett,1981/07/10,2018/06/20,75,2016,TX,unity golf club,"Martin, Mcknight and Clark"
Miguel,Riley,1990/03/22,2018/10/02,39,1987,IN,unity golf club,Pearson Group
Matthew,Garcia,1997/12/17,2018/04/20,82,1977,AK,unity golf club,Taylor-Alvarez
Seth,Wilson,1963/06/09,2018/12/13,98,1974,IL,unity golf club,"Jackson, Carlson and Contreras"
Stacey,Barnes,1981/11/15,2018/06/06,90,1971,KY,unity golf club,Keller Group
Danielle,Frank,1962/01/28,2018/05/18,65,1983,AZ,unity golf club,"Kelley, Gilbert and Jackson"
Leonard,Benson,1961/07/03,2018/06/21,40,2008,WV,unity golf club,Scott and Sons
Patrick,Thompson,1984/08/06,2019/01/07,41,2014,AK,unity golf club,"Mullen, Huffman and Vasquez"
Mary,Phillips,1978/01/21,2018/10/27,75,2006,HI,unity golf club,Keller Group
Joseph,Jackson,1985/11/08,2018/09/14,41,1996,MS,unity golf club,"Alvarez, Schaefer and Robertson"
Jessica,Church,1993/04/27,2018/07/30,55,2005,WV,unity golf club,"Martin, Mcknight and Clark"
Michael,Gonzalez,1974/05/31,2018/12/05,46,1977,CA,unity golf club,"Alvarez, Schaefer and Robertson"
Mary,Anderson,1992/11/24,2018/10/18,61,1984,OR,unity golf club,
Zachary,Williams,1963/06/20,2018/02/01,84,1992,LA,unity golf club,"Alvarez, Schaefer and Robertson"
Stephanie,Avery,1991/03/12,2018/12/20,93,2000,MO,unity golf club,"Hopkins, Barnes and Ward"
Daniel,Martinez,1986/02/26,2018/06/23,39,1997,CA,unity golf club,Rivera-Morrow
Stephanie,Hernandez,1982/08/08,2018/05/27,64,1991,VA,unity golf club,"Smith, Torres and Matthews"
Randy,Meyer,1959/06/01,2018/06/12,63,1980,AL,unity golf club,"Alvarez, Schaefer and Robertson"
Monica,Ray,1989/03/20,2018/08/09,46,1998,FL,unity golf club,"Kelley, Gilbert and Jackson"
Gina,Wilson,1963/11/29,2018/05/05,91,1986,GA,unity golf club,"Hopkins, Barnes and Ward"
John,Bender,1972/08/17,2018/05/27,31,1997,WI,unity golf club,Rivera-Morrow
Martha,Bentley,1990/06/18,2018/03/19,95,1988,NV,unity golf club,Rivera-Morrow
Martin,Jones,1977/09/28,2018/10/24,57,1999,TX,unity golf club,"Alvarez, Schaefer and Robertson"
Paul,Sandoval,1983/04/14,2018/03/10,90,1983,OH,unity golf club,Pearson Group
Deborah,Murphy,1959/10/29,2018/10/24,53,1999,MT,unity golf club,Peterson and Sons
Philip,Martin,1966/09/05,2018/07/09,37,1971,WV,unity golf club,"Hopkins, Barnes and Ward"
Shane,Berry,1976/02/20,2018/09/17,55,1996,VT,unity golf club,Keller Group
Joshua,Delacruz,1976/03/27,2018/08/02,42,1982,WI,unity golf club,"Hopkins, Barnes and Ward"
Brandi,Reynolds,1978/05/29,2018/12/14,33,2017,CT,unity golf club,Parker Group
Amanda,Webb,1970/03/13,2018/10/03,53,1986,FL,unity golf club,"Smith, Torres and Matthews"
Lisa,Collins,1978/04/23,2018/11/29,63,2006,KS,unity golf club,Mcdonald Inc
Brad,Taylor,1975/02/24,2018/11/05,96,1984,CO,unity golf club,"Alvarez, Schaefer and Robertson"
Traci,Strickland,1983/03/22,2018/07/29,37,1988,NM,unity golf club,Parker Group
Jennifer,Walters,1995/05/04,2018/04/03,68,1986,SD,unity golf club,Mcdonald Inc
Ryan,Alexander,1996/12/31,2018/07/20,96,1996,AR,unity golf club,Mcdonald Inc
Nichole,Strickland,1968/02/15,2018/04/10,65,2009,NM,unity golf club,Scott and Sons
David,Vasquez,1985/06/12,2018/03/14,86,2011,MS,unity golf club,Peterson and Sons
David,Shannon,1989/04/02,2018/04/06,32,1999,NV,unity golf club,Rivera-Morrow
Laura,Brown,1990/09/16,2018/01/10,37,1990,MN,unity golf club,Pearson Group
Nicole,Moore,1993/03/01,2018/07/16,32,1975,CA,unity golf club,
Logan,Vazquez,1994/05/29,2018/03/13,51,2012,ID,unity golf club,"Hopkins, Barnes and Ward"
Andrew,Mendoza,1974/04/22,2018/12/26,83,1992,MA,unity golf club,Rivera-Morrow
Tom,Sanchez,1959/01/29,2018/01/30,40,1976,TN,unity golf club,"Jackson, Carlson and Contreras"
Kristi,Owens,1987/12/10,2018/07/20,57,2000,NM,unity golf club,"Alvarez, Schaefer and Robertson"
Amber,Martin,1962/12/05,2019/01/06,85,2007,OK,unity golf club,Scott and Sons
Richard,Delgado,1986/01/09,2018/06/25,37,2002,PA,unity golf club,Parker Group
Jeanne,Flowers,1974/12/18,2018/01/10,79,2001,TX,unity golf club,"Kelley, Gilbert and Jackson"
Jennifer,Alexander,1984/01/27,2018/07/03,99,2009,ND,unity golf club,Peterson and Sons
Robin,Frost,1968/05/29,2018/06/14,46,1984,ND,unity golf club,"Smith, Torres and Matthews"
Julie,Newman,1967/04/13,2018/08/29,68,1993,HI,unity golf club,"Mullen, Huffman and Vasquez"
John,Martinez,1961/03/07,2018/02/12,58,1978,DE,unity golf club,Taylor-Alvarez
Rachael,Hodge,1981/04/03,2018/01/26,66,1976,IA,unity golf club,"Mullen, Huffman and Vasquez"
John,Roberts,1970/06/27,2018/10/12,88,1984,AK,unity golf club,Parker Group
Nathan,Cole,1984/08/17,2018/02/14,47,2001,OK,unity golf club,Rivera-Morrow
Latasha,Davis,1985/06/28,2018/07/31,91,2008,SC,unity golf club,Rivera Ltd
Steven,Mann,1998/01/15,2018/04/19,31,1991,NY,unity golf club,Rivera Ltd
David,Brooks,1982/12/02,2018/10/03,78,2006,PA,unity golf club,
Javier,Estrada,1992/08/18,2018/02/24,47,2011,CT,unity golf club,Parker Group
Kimberly,George,1961/11/22,2018/08/08,40,2016,CT,unity golf club,Hunter Ltd
Cameron,West,1974/09/13,2018/10/12,32,1999,LA,unity golf club,Peterson and Sons
Sarah,Smith,1982/11/19,2018/12/26,58,1987,NC,unity golf club,Peterson and Sons
Lisa,Taylor,1972/10/30,2018/02/13,96,2012,WV,unity golf club,"Alvarez, Schaefer and Robertson"
Christopher,Farrell,1993/05/02,2018/08/25,44,1979,WV,unity golf club,Hunter Ltd
Robert,Roy,1974/04/04,2018/05/27,84,2013,KS,unity golf club,"Brown, Vasquez and Sanchez"
Lance,Macias,1974/10/28,2018/11/18,50,1974,HI,unity golf club,Mcdonald Inc
Linda,Walter,1981/07/10,2018/04/15,96,1991,VA,unity golf club,Mcdonald Inc
Ernest,Moore,1983/03/03,2018/05/28,62,2000,SC,unity golf club,"Jackson, Carlson and Contreras"
John,Robles,1988/04/20,2018/03/02,57,2006,NV,unity golf club,Hunter Ltd
Stephanie,Davis,1965/02/12,2018/11/24,95,1986,IN,unity golf club,Williams-Stephenson
Donald,Cox,1985/06/14,2018/06/03,42,1996,MI,unity golf club,Taylor-Alvarez
Lisa,Long,1993/12/28,2018/09/25,43,1972,MD,unity golf club,Mcdonald Inc
Jake,Williams,1996/10/03,2018/11/11,53,1980,TN,unity golf club,Rivera-Morrow
Derek,Mclaughlin,1971/02/09,2018/01/12,84,1971,MN,unity golf club,Hunter Ltd
Kaitlyn,Hernandez,1980/07/12,2018/05/19,78,2005,MA,unity golf club,Rivera-Morrow
James,Wyatt,1998/11/30,2018/08/04,60,2006,KY,unity golf club,"Smith, Torres and Matthews"
Stephanie,Rivera,1998/09/24,2018/08/15,81,1994,WI,unity golf club,"Martin, Mcknight and Clark"
Suzanne,Rodriguez,1969/01/13,2018/03/14,58,2016,ND,unity golf club,Peterson and Sons
Bryan,Craig,1996/07/02,2018/10/13,62,2004,TX,unity golf club,Williams-Stephenson
Garrett,Fernandez,1962/10/31,2018/06/28,62,1989,CO,unity golf club,"Alvarez, Schaefer and Robertson"
Jose,Taylor,1960/07/17,2018/03/07,32,1977,LA,unity golf club,"Mullen, Huffman and Vasquez"
Matthew,Higgins,1994/12/03,2018/06/24,58,1971,AK,unity golf club,Williams-Stephenson
Richard,Jensen,1969/07/17,2018/01/16,66,2010,IL,unity golf club,Taylor-Alvarez
Timothy,Rich,1961/12/09,2018/11/28,37,2002,GA,unity golf club,Keller Group
Scott,Conway,1991/08/17,2018/04/27,85,1993,OH,unity golf club,"Jackson, Carlson and Contreras"
Luis,Ochoa,1960/05/11,2018/07/27,72,2002,UT,unity golf club,Williams-Stephenson
Susan,Graham,1973/11/24,2018/07/13,63,1983,OH,unity golf club,Taylor-Alvarez
Andrew,Johnson,1978/06/30,2018/08/06,62,2006,ID,unity golf club,
Susan,Wilson,1962/10/18,2018/07/13,74,2016,WY,unity golf club,Rivera Ltd
Caitlin,Smith,1991/04/10,2018/12/22,83,2002,MD,unity golf club,"Hopkins, Barnes and Ward"
Fernando,Dorsey,1992/02/07,2018/08/28,72,2005,FL,unity golf club,Bruce Inc
Lance,Chapman,1968/11/10,2018/11/17,59,1991,MI,unity golf club,"Brown, Vasquez and Sanchez"
Brendan,Long,1964/04/11,2018/09/26,50,2008,NH,unity golf club,Keller Group
Kaitlyn,Nichols,1997/11/12,2018/02/21,89,2002,ID,unity golf club,"Mullen, Huffman and Vasquez"
Timothy,Hinton,1999/01/05,2018/03/14,60,2007,SD,unity golf club,Mcdonald Inc
Heather,Thomas,1967/09/18,2018/12/11,54,1993,GA,unity golf club,"Mullen, Huffman and Vasquez"
Jacqueline,Powell,1998/07/12,2018/03/06,79,2007,NH,unity golf club,Parker Group
Samuel,Johnson,1965/08/08,2018/11/30,75,1999,MD,unity golf club,Parker Group
Olivia,Cunningham,1992/12/03,2018/05/28,95,1970,WI,unity golf club,Parker Group
Brent,Maldonado,1994/11/06,2018/07/12,88,1984,OR,unity golf club,Parker Group
Mary,Cameron,1982/01/25,2018/05/11,36,2006,AK,unity golf club,Pearson Group
Stanley,Johns,1973/08/16,2018/02/01,93,1974,AK,unity golf club,"Smith, Torres and Matthews"
Annette,Anderson,1977/06/08,2018/12/14,78,1980,VT,unity golf club,
Kristin,Brooks,1977/09/23,2018/12/28,83,1993,NM,unity golf club,"Kelley, Gilbert and Jackson"
Susan,Allen,1967/12/29,2018/10/02,84,1982,AZ,unity golf club,
Robert,Stevens,1988/01/21,2018/11/29,75,2008,WI,unity golf club,Williams-Stephenson
James,Hernandez,1972/02/14,2018/12/23,95,2016,MN,unity golf club,"Alvarez, Schaefer and Robertson"
Lauren,Davis,1997/04/21,2018/10/08,67,2016,MT,unity golf club,Pearson Group
Jean,Roberts,1980/11/15,2019/01/01,75,1974,KY,unity golf club,Mcdonald Inc
Kayla,Patterson,1968/10/26,2018/11/21,45,1996,MD,unity golf club,Keller Group
Shawn,Church,1973/10/31,2018/05/27,53,2011,AK,unity golf club,Pearson Group
Brandon,Sanders,1981/03/06,2018/02/22,46,1999,WI,unity golf club,Mcdonald Inc
Natalie,Espinoza,1971/04/28,2018/12/29,87,1988,NY,unity golf club,Hunter Ltd
Daniel,Morrison,1962/10/04,2018/07/31,76,1978,CA,unity golf club,Pearson Group
Allen,Williams,1997/02/23,2018/07/16,92,2008,WA,unity golf club,Bruce Inc
Sandra,Foster,1970/05/14,2018/08/25,69,1978,MI,unity golf club,Mcdonald Inc
Sean,Tate,1995/02/23,2018/07/08,50,1977,CO,unity golf club,Peterson and Sons
Kevin,Anderson,1984/10/20,2018/05/08,88,1986,WI,unity golf club,"Kelley, Gilbert and Jackson"
Robert,Robinson,1994/12/01,2018/11/17,50,1974,AK,unity golf club,"Martin, Mcknight and Clark"
Michael,Hansen,1966/10/24,2018/08/29,78,2009,WV,unity golf club,"Hopkins, Barnes and Ward"
